DOWJ,AAL,AAPL,AMZN,CAT,CBRE,CVS,DAL,DD,DIA,DIS,ED,F,FB,GE,GLD,GOOGL,HLT,HYG,IYR,JPM,MSFT,NFLX,SBUX,SPY,T,TLT,TSLA,TWTR,USO,UUP,WMT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XOM
0.012514743,0.003104484,0.01651636,-0.007556355,-0.004784231,0.007614785,0.000755289,0.006234238,0.010940655,0.012683834,0.011563808,0.003163676,-0.070228851,-0.004428462,-0.047226783,-0.008099385,0.007429048,0.007553811,0.000114109,0.007127063,0.00641309,0.020260238,-0.018191662,0.001651327,0.009531348,0.003540373,-0.001359582,0.020878687,-0.004055166,0.001567359,0.002544468,0.019962253,0.004628795,0.008764996,0.007547177,0.00553797,0.015026205,0.011421383,0.006181455,0.009627711,0.004794983,0.011843316
-0.003746407,0.003095011,0.000893158,-0.001297339,0.001958594,0.004445364,-0.0018869,-0.004521075,0.003431358,-0.003524077,-0.013842947,-0.012488982,-0.009031253,0.01238737,-0.033429134,-0.002219746,-0.002747788,-0.000951939,-0.001028146,-0.009778582,0.002389566,-0.000443514,0.013011503,0.007088693,-0.001680538,0.008141269,-0.00928979,-0.007460526,-0.02117258,-0.001564906,-0.001268963,0.015579315,-0.000635465,-0.008170387,-0.001361997,-0.005382143,0.001776395,-0.00295334,-0.006341459,0.000226897,-0.000858999,-0.006477605
0.002072048,-0.00479933,-0.004462689,0.000974244,0.014043259,0.015268919,0.00642734,0.009419672,-0.000262929,0.002015496,0.001539463,-0.000127829,-0.005799547,0.008286931,-0.030411705,0.004449369,0.006628722,0.018344021,0.001029204,0.006496779,-0.002207401,-0.001109979,0.000590046,0.002782676,0.004549533,0.001614987,-0.005254174,0.015816762,-0.015807032,-0.003134793,0.001694184,0.002780475,0.006041198,-0.001307478,0.007159998,0.002894389,0.001921307,0.011151762,-0.002991763,0.003745342,0.008692294,-0.003202313
0.005480225,0.0006888,-0.008181115,0.025282411,0.002816836,-0.003269432,0.013648951,0.001999761,0.002236663,0.005526934,0.004611645,0.003321729,0.001666718,0.022505389,-0.005534907,0.001819359,0.018067367,0.003275386,0.000913951,0.008133283,0.011680465,0.017888828,0.032296085,0.002448555,0.008131044,0.017737272,0.00097515,0.004399773,-0.014370252,0.004716939,-0.003382721,0.008222448,-0.002370284,0.021602411,0.008124479,0,0.009734379,0.007582338,0.001400285,0.006558109,0.011079532,0.012621806
-0.00014454,0.003270187,0.00022585,0.026542389,-0.008543572,0.004810873,-0.000124382,-0.003326239,-0.00052497,-0.00042035,-0.006210478,0.014389512,-0.004991835,0.021470632,0.044526841,0.004974317,0.010316459,0.008860909,0.002967236,0.01383,-0.001049614,0.003165736,0.099789047,0.00455948,0.002122461,-0.017956277,0.00430258,0.003498723,-0.024442526,0.014867022,-0.002545547,0.004267562,-0.00015842,-0.001537785,0.001007468,0.000501863,0.004381956,-0.003249481,0.009588482,-0.004830403,0.008429375,0.000566709
0.001576014,-0.060044536,-0.015928438,-0.003691656,-0.006433348,-0.016104498,0.005967086,-0.052227584,-0.001707598,0.002673333,0.000814992,-0.003012854,0.007525181,-0.014787446,-0.026642934,0.0121779,-0.004149064,-0.008551906,-0.001478886,-0.003536451,0.012783526,-0.000870728,0.043988952,-0.013940677,-0.000388266,-0.004571091,-0.005415856,-0.01955836,-0.01670326,0.01927525,-0.009783016,-0.001038786,0.004277566,-0.002695571,0.006709066,-0.000877744,-0.007707739,0.002058976,-0.006133755,0.002934988,0.004272222,0.002604762
0.005358422,-0.03175769,-0.017851112,0.015056936,0.006118521,0.013271451,0.008156442,-0.0350351,0.008419993,0.004494274,0.000452531,0.012087625,-0.039834171,0.004985219,-0.015815192,-0.006675468,0.00926327,0.009791343,-0.000683921,-0.0019013,0.000259223,0.005554569,0.032147052,-0.00460302,0.000423645,0.011615329,0.008208775,-0.023851512,-0.009387617,-0.012102863,0.001288502,0.007656665,0.00662558,-0.007850651,-0.00199916,0.001004103,-0.001758922,0.000513599,0.01552859,0.008553704,-0.001757034,-0.001807559
0.008484207,0.000377072,0.002337624,0.017489821,-0.013638712,0.008731668,0.005270809,0.008210015,0.004827105,0.008189349,0.014834931,0.000249082,0.006914555,0.013441457,-0.003090293,0.000781481,0.004584942,0.012236047,0.000798094,0.000380859,0.005358884,0.018737145,0.018168312,-0.042279008,0.011577691,0.009879912,-0.003708036,0.01543061,0.095216635,0.013782492,-0.002144965,0.016791751,0.004388043,0.005448266,0.007345381,0.011537708,0.015856803,0.00479213,0.00058818,0.021537691,0.009820279,0.007129341
-0.006658616,-0.007348775,-0.020698428,0.011147965,-0.026816594,0.002813267,0.019753537,0.00904815,-0.014931138,-0.006581187,-0.005793721,-0.0157962,-0.033043463,-0.021157917,0.009299489,-0.005621994,-0.000909493,-0.004675669,-0.003532438,-0.012822033,-0.001031727,-0.001488531,0.036380153,-0.016726957,-0.006629729,-0.014807147,-0.006958354,0.019483718,0.037494843,-0.00981874,0.002579643,0.010702226,-0.011390227,-0.015094737,-0.003977513,-0.006694708,-0.009105533,-0.003917473,-0.012735247,-0.002730927,-0.002752451,-0.011123653
-0.013713955,-0.001708483,-0.00589416,0.014206233,0.007257772,-0.014674154,-0.041133357,0.006456257,-0.009753537,-0.013400878,-0.012820549,0.005813051,-0.005395655,0.006129688,-0.020270209,-0.004318771,-0.007678162,-0.00996793,-0.003430254,-0.005401234,-0.009380466,-0.012563904,-0.020345088,0.002981229,-0.010256992,0.004831011,-0.005866827,-0.010614229,0.017474207,-0.01601831,-0.001715252,-0.016613514,-0.007260033,-0.020172934,-0.01297834,-0.007863534,-0.009042836,-0.006668978,0.001786169,-0.021031993,-0.004967696,-0.013975503
